imdbID,Title,Year,Genre,Metascore,imdbRating,studio_type
tt1608290,Zoolander 2,2016,"Action, Adventure, Comedy",34,4.7,major
tt1758810,The Snowman,2017,"Crime, Drama, Horror",23,5.2,major
tt10039344,Countdown,2019,"Horror, Thriller",31,5.4,major
tt5116302,Togo,2019,"Adventure, Biography, Drama",69,7.9,major
tt6495056,Migration,2023,"Animation, Adventure, Comedy",56,6.6,major
tt6850820,Peppermint,2018,"Action, Thriller",29,6.5,major
tt5523010,The Nutcracker and the Four Realms,2018,"Adventure, Family, Fantasy",39,5.6,major
tt29268110,Smile 2,2024,"Horror, Mystery, Thriller",67,6.7,major
tt6359956,A Bad Moms Christmas,2017,Comedy,42,5.6,major
tt11358390,Renfield,2023,"Action, Comedy, Fantasy",53,6.4,major
tt6654210,Infinite,2021,"Action, Sci-Fi, Thriller",28,5.5,major
tt1727776,Scouts Guide to the Zombie Apocalypse,2015,"Action, Comedy, Horror",32,6.3,major
tt6791096,I Feel Pretty,2018,"Comedy, Romance",48,5.7,major
tt27489557,Abigail,2024,"Action, Comedy, Crime",62,6.5,major
tt2649554,Midnight Special,2016,"Drama, Mystery, Sci-Fi",76,6.6,major
tt10665342,Halloween Ends,2022,"Horror, Mystery, Romance",47,5.0,major
tt1431045,Deadpool,2016,"Action, Comedy, Sci-Fi",65,8.0,indie
tt4154756,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",68,8.4,indie
tt4154796,Avengers: Endgame,2019,"Action, Adventure, Sci-Fi",78,8.4,indie
tt2395427,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",66,7.3,indie
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",75,7.8,indie
tt1825683,Black Panther,2018,"Action, Adventure, Sci-Fi",88,7.3,indie
tt2096673,Inside Out,2015,"Animation, Adventure, Comedy",94,8.1,indie
tt1211837,Doctor Strange,2016,"Action, Adventure, Fantasy",72,7.5,indie
tt2250912,Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",73,7.4,indie
tt3896198,Guardians of the Galaxy: Vol. 2,2017,"Action, Adventure, Comedy",67,7.6,indie
tt10872600,Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy",71,8.1,indie
tt3501632,Thor: Ragnarok,2017,"Action, Adventure, Comedy",74,7.9,indie
tt3659388,The Martian,2015,"Adventure, Drama, Sci-Fi",80,8.0,indie
tt2380307,Coco,2017,"Animation, Adventure, Drama",81,8.4,indie
tt0478970,Ant-Man,2015,"Action, Comedy, Sci-Fi",64,7.2,indie
tt6751668,Parasite,2019,"Drama, Thriller",97,8.5,indie
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",80,7.7,indie
tt3315342,Logan,2017,"Action, Drama, Sci-Fi",77,8.1,indie
tt1396484,It,2017,Horror,69,7.3,indie
tt2543164,Arrival,2016,"Drama, Mystery, Sci-Fi",81,7.9,indie
tt1663202,The Revenant,2016,"Action, Drama, Western",76,8.0,indie
tt5463162,Deadpool 2,2018,"Action, Adventure, Comedy",66,7.6,indie
tt5052448,Get Out,2017,"Horror, Mystery, Thriller",85,7.8,indie
tt4972582,Split,2016,"Horror, Thriller",63,7.3,indie
tt2948356,Zootopia,2016,"Animation, Action, Adventure",78,8.0,indie
tt3783958,La La Land,2016,"Comedy, Drama, Music",94,8.0,indie
tt2802144,Kingsman: The Secret Service,2015,"Action, Adventure, Comedy",60,7.7,indie
tt1727824,Bohemian Rhapsody,2018,"Biography, Drama, Music",49,7.9,indie
tt4633694,Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",87,8.4,indie
tt1270797,Venom,2018,"Action, Adventure, Sci-Fi",35,6.6,indie
tt6320628,Spider-Man: Far from Home,2019,"Action, Adventure, Comedy",69,7.3,indie
tt3890160,Baby Driver,2017,"Action, Crime, Drama",86,7.5,indie
tt4154664,Captain Marvel,2019,"Action, Adventure, Sci-Fi",64,6.7,indie
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",65,7.8,indie
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",84,6.8,indie
tt3460252,The Hateful Eight,2015,"Crime, Drama, Mystery",68,7.8,indie
tt1856101,Blade Runner 2049,2017,"Action, Drama, Mystery",81,8.0,indie
tt1160419,Dune: Part One,2021,"Action, Adventure, Drama",74,8.0,indie
tt2119532,Hacksaw Ridge,2016,"Biography, Drama, History",71,8.1,indie
tt7131622,Once Upon a Time... in Hollywood,2019,"Comedy, Drama",84,7.6,indie
tt2283362,Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy",58,6.9,indie
tt4425200,John Wick: Chapter 2,2017,"Action, Crime, Thriller",75,7.4,indie
tt0470752,Ex Machina,2014,"Drama, Sci-Fi, Thriller",78,7.7,indie
tt1630029,Avatar: The Way of Water,2022,"Animation, Action, Adventure",67,7.5,indie
tt1355644,Passengers,2016,"Drama, Romance, Sci-Fi",41,7.0,indie
tt5095030,Ant-Man and the Wasp,2018,"Action, Adventure, Comedy",70,7.0,indie
tt8946378,Knives Out,2019,"Comedy, Crime, Drama",82,7.9,indie
tt3385516,X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi",52,6.8,indie
tt3521164,Moana,2016,"Animation, Adventure, Comedy",81,7.6,indie
tt3606756,Incredibles 2,2018,"Animation, Action, Adventure",80,7.5,indie
tt8579674,1917,2020,"Action, Drama, War",78,8.2,indie
tt1951266,The Hunger Games: Mockingjay - Part 2,2015,"Action, Adventure, Sci-Fi",65,6.6,indie
tt2674426,Me Before You,2016,"Drama, Romance",51,7.4,indie
tt6966692,Green Book,2018,"Biography, Comedy, Drama",69,8.2,indie
tt5580390,The Shape of Water,2017,"Drama, Fantasy, Romance",87,7.3,indie
tt5726616,Call Me by Your Name,2017,"Drama, Romance",94,7.8,indie
tt2277860,Finding Dory,2016,"Animation, Adventure, Comedy",77,7.2,indie
tt5311514,Your Name.,2016,"Animation, Drama, Fantasy",81,8.4,indie
tt6146586,John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Drama",73,7.4,indie
tt3110958,Now You See Me 2,2016,"Action, Adventure, Comedy",46,6.4,indie
tt2948372,Soul,2020,"Animation, Adventure, Comedy",83,8.0,indie
tt3480822,Black Widow,2021,"Action, Adventure, Sci-Fi",68,6.6,indie
tt2379713,Spectre,2015,"Action, Adventure, Thriller",60,6.8,indie
tt7097896,Venom: Let There Be Carnage,2021,"Animation, Action, Adventure",49,5.9,indie
tt3731562,Kong: Skull Island,2017,"Action, Adventure, Fantasy",62,6.7,indie
tt4649466,Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy",44,6.7,indie
tt4046784,Maze Runner: The Scorch Trials,2015,"Action, Adventure, Sci-Fi",43,6.3,indie
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",88,8.1,indie
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,"Action, Adventure, Fantasy",53,6.3,indie
tt1979376,Toy Story 4,2019,"Animation, Adventure, Comedy",84,7.6,indie
tt5034838,Godzilla vs. Kong,2021,"Action, Sci-Fi, Thriller",59,6.3,indie
tt2737304,Bird Box,2018,"Horror, Mystery, Sci-Fi",51,6.6,indie
tt3402236,Murder on the Orient Express,2017,"Comedy, Crime, Drama",52,6.5,indie
tt1935859,Miss Peregrine's Home for Peculiar Children,2016,"Adventure, Drama, Family",57,6.7,indie
tt4846340,Hidden Figures,2016,"Biography, Drama, History",74,7.8,indie
tt9376612,Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",71,7.3,indie
tt2584384,Jojo Rabbit,2019,"Comedy, Drama, War",58,7.9,indie
tt9419884,Doctor Strange in the Multiverse of Madness,2022,"Action, Adventure, Fantasy",60,6.9,indie
tt2908446,The Divergent Series: Insurgent,2015,"Action, Adventure, Romance",42,6.2,indie
tt4520988,Frozen II,2019,"Animation, Adventure, Comedy",64,6.8,indie
tt0448115,Shazam!,2019,"Action, Adventure, Comedy",71,7.0,indie
tt2953050,Encanto,2021,"Animation, Comedy, Family",75,7.2,indie
tt0437086,Alita: Battle Angel,2019,"Action, Adventure, Sci-Fi",53,7.3,indie
tt1485796,The Greatest Showman,2017,"Biography, Drama, Musical",48,7.5,indie
tt6264654,Free Guy,2021,"Action, Adventure, Comedy",62,7.1,indie
tt3450958,War for the Planet of the Apes,2017,"Action, Adventure, Drama",82,7.4,indie
tt3170832,Room,2015,"Drama, Thriller",86,8.1,indie
tt7349950,It: Chapter Two,2019,"Drama, Fantasy, Horror",58,6.5,indie
tt3397884,Sicario,2015,"Action, Crime, Drama",82,7.7,indie
tt10886166,365 Days,2020,"Drama, Romance",N/A,3.3,indie
tt2316204,Alien: Covenant,2017,"Horror, Sci-Fi, Thriller",65,6.4,indie
tt11286314,Don't Look Up,2021,"Comedy, Drama, Sci-Fi",49,7.1,indie
tt7975244,Jumanji: The Next Level,2019,"Action, Adventure, Comedy",58,6.6,indie
tt3778644,Solo: A Star Wars Story,2018,"Action, Adventure, Sci-Fi",62,6.9,indie
tt3065204,The Conjuring 2,2016,"Horror, Mystery, Thriller",65,7.3,indie
tt9032400,Eternals,2021,"Action, Adventure, Fantasy",52,6.2,indie
tt6823368,Glass,2019,"Drama, Fantasy, Horror",43,6.6,indie
tt1950186,Ford v Ferrari,2019,"Action, Biography, Drama",81,8.1,indie
tt4925292,Lady Bird,2017,"Comedy, Drama",93,7.4,indie
tt3915174,Puss in Boots: The Last Wish,2022,"Animation, Action, Adventure",73,7.8,indie
tt12801262,Luca,2021,"Animation, Adventure, Comedy",71,7.4,indie
tt6263850,Deadpool & Wolverine,2024,"Action, Adventure, Comedy",56,7.5,indie
tt1895587,Spotlight,2015,"Biography, Crime, Drama",93,8.1,indie
tt9362722,Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure",86,8.5,indie
tt1502397,Bad Boys for Life,2020,"Action, Comedy, Crime",59,6.5,indie
tt1179933,10 Cloverfield Lane,2016,"Drama, Horror, Sci-Fi",76,7.2,indie
tt3799694,The Nice Guys,2016,"Action, Comedy, Crime",70,7.4,indie
tt3846674,To All the Boys I've Loved Before,2018,"Comedy, Drama, Romance",64,7.0,indie
tt7784604,Hereditary,2018,"Drama, Horror, Mystery",87,7.3,indie
tt10648342,Thor: Love and Thunder,2022,"Action, Adventure, Comedy",57,6.1,indie
tt1823672,Chappie,2015,"Action, Crime, Drama",41,6.8,indie
tt4126476,After,2019,"Drama, Romance",30,5.3,indie
tt6791350,Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy",64,7.9,indie
tt5700672,Train to Busan,2016,"Action, Horror, Thriller",73,7.6,indie
tt7888964,Nobody,2021,"Action, Crime, Drama",64,7.4,indie
tt3470600,Sing,2016,"Animation, Comedy, Family",59,7.1,indie
tt4500922,Maze Runner: The Death Cure,2018,"Action, Adventure, Sci-Fi",50,6.3,indie
tt4550098,Nocturnal Animals,2016,"Drama, Thriller",67,7.4,indie
tt2543472,Wonder,2017,"Drama, Family",66,7.9,indie
tt15239678,Dune: Part Two,2024,"Action, Adventure, Drama",79,8.4,indie
tt8772262,Midsommar,2019,"Drama, Horror, Mystery",72,7.1,indie
tt5848272,Ralph Breaks the Internet,2018,"Animation, Adventure, Comedy",71,7.0,indie
tt2094766,Assassin's Creed,2016,"Action, Adventure, Sci-Fi",36,5.6,indie
tt6710474,Everything Everywhere All at Once,2022,"Action, Adventure, Comedy",81,7.7,indie
tt7349662,BlacKkKlansman,2018,"Biography, Comedy, Crime",83,7.5,indie
tt2239822,Valerian and the City of a Thousand Planets,2017,"Animation, Action, Adventure",51,6.4,indie
tt2120120,Pixels,2015,"Action, Adventure, Comedy",27,5.6,indie
tt10366206,John Wick: Chapter 4,2023,"Action, Crime, Thriller",78,7.6,indie
tt4160708,Don't Breathe,2016,"Crime, Horror, Thriller",71,7.1,indie
tt3076658,Creed,2015,"Action, Drama, Sport",82,7.6,indie
tt5442430,Life,2017,"Horror, Sci-Fi, Thriller",54,6.6,indie
tt8228288,The Platform,2019,"Horror, Mystery, Sci-Fi",73,7.0,indie
